
Element    z       f'      f"      a1      b1      a2      b2      a3      b3      a4      b4      c       a5      b5
H              1    0.00    0.00  0.0349  0.5347  0.1201  3.5867   0.197 12.3471  0.0573 18.9525    0.00  0.1195 38.6269
He             2    0.00    0.00  0.0317  0.2507  0.0838  1.4751  0.1526  4.4938  0.1334 12.6646    0.00  0.0164 31.1653
Li             3    0.00    0.00   0.075  0.3864  0.2249  2.9383  0.5548 15.3829  1.4954 53.5545    0.00  0.9354138.7337
Be             4    0.00    0.00   0.078  0.3131   0.221  2.2381   0.674 10.1517  1.3867 30.9061    0.00  0.6925 78.3273
B              5    0.00    0.00  0.0909  0.2995  0.2551  2.1155  0.7738  8.3816  1.2136 24.1292    0.00  0.4606 63.1314
C              6    0.00    0.00  0.0893  0.2465  0.2563    1.71   0.757  6.4094  1.0487 18.6113    0.00  0.3575 50.2523
N              7    0.00    0.00  0.1022  0.2451  0.3219  1.7481  0.7982  6.1925  0.8197 17.3894    0.00  0.1715 48.1431
O              8    0.00    0.00  0.0974  0.2067  0.2921  1.3815   0.691  4.6943   0.699 12.7105    0.00  0.2039 32.4726
F              9    0.00    0.00  0.1083  0.2057  0.3175  1.3439  0.6487  4.2788  0.5846 11.3932    0.00  0.1421 28.7881
Ne            10    0.00    0.00  0.1269    0.22  0.3535  1.3779  0.5582  4.0203  0.4674  9.4934    0.00   0.146 23.1278
Na            11    0.00    0.00  0.2142  0.3334  0.6853  2.3446  0.7692  10.083  1.6589 48.3037    0.00  1.4482  138.27
Mg            12    0.00    0.00  0.2314  0.3278  0.6866   2.272  0.9677 10.9241  2.1882 39.2898    0.00  1.1339101.9748
Al            13    0.00    0.00   0.239  0.3138  0.6573  2.1063  1.2011 10.4163  2.5586 34.4552    0.00  1.2312 98.5344
Si            14    0.00    0.00  0.2519  0.3075  0.6372  2.0174  1.3795  9.6746  2.5082 29.3744    0.00    1.05 80.4732
P             15    0.00    0.00  0.2548  0.2908  0.6106   1.874  1.4541  8.5176  2.3204 24.3434    0.00  0.8477 63.2996
S             16    0.00    0.00  0.2497  0.2681  0.5628  1.6711  1.3899  7.0267  2.1865 19.5377    0.00  0.7715 50.3888
Cl            17    0.00    0.00  0.2443  0.2468  0.5397  1.5242  1.3919  6.1537  2.0197 16.6687    0.00  0.6621 42.3086
Ar            18    0.00    0.00  0.2385  0.2289  0.5017  1.3694  1.3428  5.2561  1.8899 14.0928    0.00  0.6079 35.5361
K             19    0.00    0.00  0.4115  0.3703  1.4031  3.3874  2.2784 13.1029  2.6742 68.9592    0.00  2.2162194.4329
Ca            20    0.00    0.00  0.4054  0.3499   1.388  3.0991  2.1602 11.9608  3.7532 53.9353    0.00  2.2063142.3892
Sc            21    0.00    0.00  0.3787  0.3133  1.2181  2.5856  2.0594  9.5813  3.2618 41.7688    0.00   2.387116.7282
Ti            22    0.00    0.00  0.3825   0.304  1.2598  2.4863  2.0008  9.2783  3.0617 39.0751    0.00  2.0694109.4583
v             23    0.00    0.00  0.3876  0.2967   1.275   2.378  1.9109  8.7981  2.8314 35.9528    0.00  1.8979101.7201
Cr            24    0.00    0.00  0.4046  0.2986  1.3696  2.3958  1.8941  9.1406    2.08 37.4701    0.00  1.2196113.7121
Mn            25    0.00    0.00  0.3796  0.2699  1.2094  2.0455  1.7815  7.4726   2.542 31.0604    0.00  1.5937 91.5622
Fe            26    0.00    0.00  0.3946  0.2717  1.2725  2.0443  1.7031  7.6007   2.314 29.9714    0.00  1.4795 86.2265
Co            27    0.00    0.00  0.4118  0.2742  1.3161  2.0372  1.6493  7.7205   2.193  29.968    0.00   1.283 84.9383
