   H   K   L   Fobs^2/Sigma      Fobs^2 (Sintheta/lambda)^3
   0   0   3        5.833        3.500        0.001
   0   0   5       -1.500       -0.600        0.004
   0   0   7        1.833        1.100        0.012
   0   0   9        0.429        0.300        0.025
   0   0  11        2.000        0.800        0.046
   0   0  13        3.667        1.100        0.076
   0   0  15       -0.857       -2.400        0.117
   0   0  17        1.355        4.200        0.171
   0   3   0        2.300        2.300        0.003
   0   5   0        1.333        2.000        0.012
   0   7   0       -1.267       -1.900        0.032
   0   9   0        1.875        4.500        0.068
   0  11   0       -1.190       -2.500        0.124
   0  13   0        0.969        3.100        0.204
   1   0   0        2.273        2.500        0.001
   3   0   0        2.429        3.400        0.028
   5   0   0        0.700        1.400        0.131
