 Range    number    mean(Fo)    number   Mean(ratio)
-128.    0.      0.00    0.      0.00
 -64.    0.      0.00    0.      0.00
 -32.    0.      0.00    0.      0.00
 -16.    0.      0.00    0.      0.00
  -8.    0.      0.00    0.      0.00
  -4.    0.      0.00    0.      0.00
  -2.    0.      0.00    3.      2.65
  -1.    3.     -1.50    1.      1.71
   0.    1.     -0.77    0.      0.00
   1.    2.      0.72    1.      0.86
   2.    9.      1.47    2.      1.69
   4.    2.      2.09    5.      3.40
   8.    0.      0.00    4.      5.46
  16.    0.      0.00    1.     11.67
  32.    0.      0.00    0.      0.00
  64.    0.      0.00    0.      0.00
 128.    0.      0.00    0.      0.00
