 Rmerge%   Rint%         Observations    
    1.79    1.49
F2/sigma(F2)  Rmerge%       Input  Merged
 0.0      -297.8673096         29    1133
 0.5       101.4423141         30    1100
 1.0        39.5220566         27    1074
 1.5        30.5896130         37    1048
 2.0        24.6753254         25    1030
 2.5        20.8135757         32    1001
 3.0        21.4515133         27     976
 3.5        18.2102604         24     957
 4.0        18.1799221         37     940
 4.5        15.5913982         29     921
 5.0         8.8522501         28     909
 5.5         9.3168554         17     887
 6.0        10.3893003         27     863
 6.5         9.9479513         20     846
 7.0         9.8460445         23     829
 7.5         9.5351305         18     813
 8.0         5.8616476         21     797
 8.5         8.2677956         14     789
 9.0         6.1819358         20     777
 9.5         7.6204581         13     761
10.0         5.2144680         10     748
10.5         4.7663136         27     740
11.0         4.8616347         27     730
11.5         4.7794099         15     711
12.0         5.0826421         14     705
12.5         3.8350801         25     693
13.0         4.1928711         12     685
13.5         5.9531837         20     679
14.0         5.5151863         17     671
14.5         4.9934616          8     661
15.0         2.3979132          7     647
15.5         3.1206093         12     636
16.0         3.1804967          8     623
16.5         3.0437710         12     614
17.0         3.3535151          7     604
17.5         3.8453608         10     600
18.0         3.4909294         11     594
18.5         3.5261993         13     586
19.0         3.1681857         11     576
19.5         1.9174765          7     573
20.0         3.2523413         10     568
20.5         1.8797008         15     556
21.0         3.1648154         16     545
21.5         3.3938069         15     537
22.0         1.9487894         10     531
22.5         1.3799373         10     524
23.0         1.5735079         14     510
23.5         1.5180002          9     504
24.0         2.0442126         13     498
24.5         2.3187182         12     495
25.0         1.2974834          9     489
25.5         2.2482667         12     480
26.0         1.9077510          8     472
26.5         2.7419074         11     466
27.0         2.8797622         10     459
27.5         1.6182241         11     455
28.0         2.1964126          7     448
28.5         2.1804996         10     444
29.0         2.3855107          7     439
29.5         0.9561701          7     433
30.0         1.5336108         15     427
30.5         1.4091495         12     421
31.0         1.0101043          6     412
31.5         1.0214914          3     408
32.0         1.3462133          7     403
32.5         1.2922468         18     394
33.0         2.5529854          7     389
33.5         1.4141988         10     377
34.0         0.9461115          6     364
34.5         1.5071070          7     353
35.0         1.0580318         15     350
35.5         0.9026242          7     344
36.0         1.5349373         12     341
36.5         2.0737691          7     333
37.0         1.0776464          8     329
37.5         0.9690775         12     324
38.0         0.8356432         15     318
38.5         1.1405363          9     313
39.0         1.0860137          8     303
39.5         0.6343985         13     294
40.0         1.1685346          8     288
40.5         1.7516884         15     284
41.0         0.5556719         11     279
41.5         1.2311295         12     274
42.0         1.3115689         10     272
42.5         0.7983888          9     262
43.0         1.4463444         15     255
43.5         1.1102504         15     253
44.0         1.0265591          5     249
44.5         0.9887673         11     245
45.0         1.0536726         12     238
45.5         1.1033725          3     229
46.0         0.6994359         10     222
46.5         1.1034760          7     216
47.0         0.8865568         10     208
47.5         1.2312504          8     200
48.0         0.6338139         14     190
48.5         0.9776769          4     184
49.0         0.6572562          8     177
49.5         1.0145910         61     173
