 Rmerge%   Rint%         Observations    
    1.79    1.49
F2/sigma(F2)  Rmerge%       Input  Merged
 0.0      -297.8673096         29    1133
 0.5       101.4423141         30    1099
 1.0        39.5220566         27    1071
 1.5        30.5896130         37    1045
 2.0        24.6753254         25    1027
 2.5        20.8135757         32     998
 3.0        21.4515133         27     973
 3.5        18.2102604         24     954
 4.0        18.1799221         37     937
 4.5        15.5913982         29     918
 5.0         8.8522501         28     906
 5.5         9.3168554         17     884
 6.0        10.3893003         27     860
 6.5         9.9479513         20     843
 7.0         9.8460445         23     826
 7.5         9.5351305         18     810
 8.0         5.8616476         21     794
 8.5         8.2677956         14     786
 9.0         6.1819358         20     774
 9.5         7.6204581         13     758
10.0         5.2144680         10     745
10.5         4.7663136         27     737
11.0         4.8616347         27     727
11.5         4.7794099         15     708
12.0         5.0826421         14     702
12.5         3.8350801         25     691
13.0         4.1928711         12     683
13.5         5.9531837         20     677
14.0         5.5151863         17     669
14.5         4.9934616          8     659
15.0         2.3979132          7     645
15.5         3.1206093         12     634
16.0         3.1804967          8     621
16.5         3.0437710         12     612
17.0         3.3535151          7     602
17.5         3.8453608         10     598
18.0         3.4909294         11     592
18.5         3.5261993         13     584
19.0         3.1681857         11     574
19.5         1.9174765          7     571
20.0         3.2523413         10     566
20.5         1.8797008         15     554
21.0         3.1648154         16     543
21.5         3.3938069         15     535
22.0         1.9487894         10     529
22.5         1.3799373         10     522
23.0         1.5735079         14     508
23.5         1.5180002          9     502
24.0         2.0442126         13     496
24.5         2.3187182         12     493
25.0         1.2974834          9     487
25.5         2.2482667         12     478
26.0         1.9077510          8     470
26.5         2.7419074         11     464
27.0         2.8797622         10     458
27.5         1.6182241         11     454
28.0         2.1964126          7     447
28.5         2.1804996         10     443
29.0         2.3855107          7     438
29.5         0.9561701          7     432
30.0         1.5336108         15     426
30.5         1.4091495         12     420
31.0         1.0101043          6     411
31.5         1.0214914          3     407
32.0         1.3462133          7     402
32.5         1.2922468         18     393
33.0         2.5529854          7     388
33.5         1.4141988         10     376
34.0         0.9461115          6     363
34.5         1.5071070          7     352
35.0         1.0580318         15     349
35.5         0.9026242          7     343
36.0         1.5349373         12     340
36.5         2.0737691          7     332
37.0         1.0776464          8     328
37.5         0.9690775         12     323
38.0         0.8356432         15     317
38.5         1.1405363          9     312
39.0         1.0860137          8     302
39.5         0.6343985         13     293
40.0         1.1685346          8     287
40.5         1.7516884         15     283
41.0         0.5556719         11     278
41.5         1.2311295         12     273
42.0         1.3115689         10     271
42.5         0.7983888          9     261
43.0         1.4463444         15     254
43.5         1.1102504         15     252
44.0         1.0265591          5     248
44.5         0.9887673         11     244
45.0         1.0536726         12     237
45.5         1.1033725          3     229
46.0         0.6994359         10     222
46.5         1.1034760          7     216
47.0         0.8865568         10     208
47.5         1.2312504          8     200
48.0         0.6338139         14     190
48.5         0.9776769          4     184
49.0         0.6572562          8     177
49.5         1.0145910         61     173
